8.210.55.134	2082
8.218.148.106	80
8.212.18.214	8080
47.243.179.249	2086
8.217.3.165	80
47.243.179.249	8080
8.217.166.28	8080
47.57.9.17	80
8.212.27.208	8880
8.212.26.41	2052
8.212.27.208	2052
8.212.26.72	8080
8.212.26.72	8880
8.212.27.208	8080
8.212.26.41	8080
8.212.26.72	2052
8.212.26.41	8880
8.210.1.224	80
47.242.2.93	80
47.242.147.215	80
8.210.1.224	80
47.243.121.130	80
47.243.121.130	80
8.212.40.197	2095
47.57.71.45	80
47.243.165.118	80
8.218.222.23	80
8.218.190.233	8080
139.95.1.216	80
149.129.85.67	80
47.240.11.186	80
8.210.231.128	80
149.129.85.67	80
47.76.57.240	80
8.212.40.69	80
149.129.85.67	80
47.242.126.93	80
47.76.57.240	80
47.242.226.197	80
47.240.11.186	80
8.210.231.128	80
47.242.126.93	80
8.218.44.118	80
47.76.188.209	8443
8.218.133.152	8443
47.240.76.200	80
47.76.189.219	8443
47.76.189.145	8443
8.210.84.0	8443
47.76.189.157	8443
47.76.189.157	8443
47.76.188.209	8443
8.217.220.52	8443
47.76.189.145	8443
47.76.189.219	8443
8.212.27.208	2095
47.242.32.45	80
8.212.27.208	2082
8.212.26.72	2082
8.212.26.72	2095
8.212.26.41	2082
8.212.26.41	2095
47.243.179.149	8080
